"Top 100
Rank in
all baseball",Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video
1,,Konnor Griffin,PIT,SS,MLB,2026,70,High,,20.1,"6' 4""",225,R,R,2024,Draft,PIT,$6.5M,Jackson Prep (MS),,
2,1,Jesús Made,MIL,SS,AA,2027,65,Med,,19,"6' 1""",180,S,R,2024,Intl15,MIL,$950k,Dominican Republic,,
3,1,Nolan McLean,NYM,SP,MLB,2026,65,Med,,24.8,"6' 3""",205,R,R,2023,Draft,NYM,$748k,Oklahoma State,,
4,1,Samuel Basallo,BAL,C,MLB,2026,65,High,,21.8,"6' 3""",240,L,R,2021,Intl15,BAL,$1.3M,Dominican Republic,,
5,1,Kevin McGonigle,DET,3B,MLB,2026,60,Low,,21.8,"5' 10""",187,L,R,2023,Draft,DET,$2.9M,Monsignor Bonner HS (PA),,
6,1,Leo De Vries,ATH,SS,AA,2026,60,High,,19.6,"6' 2""",210,S,R,2024,Intl15,SDP,$4.2M,Dominican Republic,,
7,2,Max Clark,DET,CF,AAA,2027,60,Med,,21.4,"6' 1""",205,L,L,2023,Draft,DET,$7.7M,Franklin HS (IN),,
8,1,Franklin Arias,BOS,SS,AA,2028,60,Med,,20.5,"5' 11""",170,R,R,2023,Intl15,BOS,$525k,Dominican Republic,,
9,1,Trey Yesavage,TOR,SP,MLB,2026,60,Med,,22.8,"6' 4""",225,R,R,2024,Draft,TOR,$4.2M,East Carolina,,
10,,Thomas White,MIA,SP,AAA,2027,60,High,,21.6,"6' 5""",210,L,L,2023,Draft,MIA,$4.1M,Phillips Academy (MA),,
11,,Bubba Chandler,PIT,SP,MLB,2026,60,High,,23.7,"6' 2""",200,S,R,2021,Draft,PIT,$3.0M,North Oconee HS,,
12,1,Colt Emerson,SEA,SS,MLB,2026,55,Low,,20.8,"6' 1""",205,L,R,2023,Draft,SEA,$3.8M,John Glenn HS (OH),,
13,1,JJ Wetherholt,STL,2B,MLB,2026,55,Low,,23.7,"5' 11""",210,L,R,2024,Draft,STL,$6.9M,West Virginia,,
14,1,Eli Willits,WSN,SS,A,2029,55,Med,,18.5,"6' 1""",180,S,R,2025,Draft,WSN,$8.2M,Fort Cobb-Broxton HS (OK),,
15,1,Chase DeLauter,CLE,RF,MLB,2026,55,Med,,24.6,"6' 4""",235,L,L,2022,Draft,CLE,$3.8M,James Madison,,
16,2,Payton Tolle,BOS,SP,MLB,2026,55,Med,,23.6,"6' 6""",250,L,L,2024,Draft,BOS,$2.0M,TCU,,
17,1,Andrew Painter,PHI,SP,MLB,2026,55,High,,23.1,"6' 7""",225,R,R,2021,Draft,PHI,$3.9M,Calvary Christian HS,,
18,2,Ryan Sloan,SEA,SP,AA,2028,55,Med,,20.3,"6' 5""",220,R,R,2024,Draft,SEA,$3.0M,York HS (IL),,
19,,Bryce Eldridge,SFG,1B,MLB,2026,55,High,,21.6,"6' 7""",235,L,R,2023,Draft,SFG,$4.0M,James Madison HS (VA),,
20,1,Josue De Paula,LAD,RF,AA,2027,55,High,,21,"6' 3""",220,L,L,2022,Intl15,LAD,$400k,Dominican Republic,,
21,1,Alfredo Duno,CIN,C,A+,2028,55,High,,20.4,"6' 2""",235,R,R,2023,Intl15,CIN,$3.1M,Venezuela,,
22,2,Luis Peña,MIL,SS,CPX,2028,55,High,,19.5,"5' 11""",175,R,R,2024,Intl15,MIL,$800k,Dominican Republic,,
23,2,Rainiel Rodriguez,STL,C,AA,2028,55,High,,19.4,"5' 10""",210,R,R,2024,Intl15,STL,$300k,Dominican Republic,,
24,2,Carson Benge,NYM,CF,MLB,2026,55,Med,,23.3,"6' 1""",184,L,R,2024,Draft,NYM,$4.0M,Oklahoma State,,
25,3,Liam Doyle,STL,SP,AA,2027,55,High,,22,"6' 2""",235,L,L,2025,Draft,STL,$7.3M,Tennessee,,
26,3,Anthony Eyanson,BOS,SP,AA,2027,55,Med,,21.6,"6' 2""",208,R,R,2025,Draft,BOS,$1.8M,LSU,,
27,,Carson Williams,TBR,SS,MLB,2026,55,High,,22.9,"6' 1""",180,R,R,2021,Draft,TBR,$2.4M,Torrey Pines HS,,
28,3,Bryce Rainer,DET,SS,A+,2028,55,High,,20.9,"6' 3""",195,L,R,2024,Draft,DET,$5.8M,Harvard-Westlake (CA),,
29,2,Aidan Miller,PHI,SS,AAA,2026,55,High,🩹,22,"6' 2""",210,R,R,2023,Draft,PHI,$3.1M,JW Mitchell HS (FL),,
30,2,Jarlin Susana,WSN,SP,AA,2027,55,High,🩹,22.2,"6' 6""",245,R,R,2022,Intl15,SDP,$1.7M,Dominican Republic,,
31,1,Sebastian Walcott,TEX,SS,AA,2028,55,High,🩹,20.2,"6' 4""",195,R,R,2023,Intl15,TEX,$3.2M,Bahamas,,
32,,Walker Jenkins,MIN,CF,AAA,2026,50,Med,,21.3,"6' 3""",215,L,R,2023,Draft,MIN,$7.1M,South Brunswick HS (NC),,
33,1,Carter Jensen,KCR,C,MLB,2026,50,Med,,22.9,"6' 1""",225,L,R,2021,Draft,KCR,$1.1M,Park Hill Senior HS (MO),,
34,1,Caleb Bonemer,CHW,3B,A+,2029,50,Med,,20.6,"6' 1""",205,R,R,2024,Draft,CHW,$3.0M,Okemos (MI),,
35,2,Sal Stewart,CIN,3B,MLB,2026,50,Med,,22.5,"6' 3""",240,R,R,2022,Draft,CIN,$2.1M,Westminster Christian HS (FL),,
36,1,Ryan Waldschmidt,ARI,LF,MLB,2026,50,Med,,23.6,"6' 2""",205,R,R,2024,Draft,ARI,$2.9M,Kentucky,,
37,2,Noah Schultz,CHW,SP,MLB,2027,50,High,,22.8,"6' 10""",220,L,L,2022,Draft,CHW,$2.8M,Oswego East HS (IL),,
38,3,Brandon Sproat,MIL,SP,MLB,2026,50,Med,,25.7,"6' 2""",200,R,R,2023,Draft,NYM,$1.5M,Florida,,
39,4,Connelly Early,BOS,SP,MLB,2026,50,Med,,24.1,"6' 3""",190,L,L,2023,Draft,BOS,$409k,Virginia,,
40,2,Dylan Beavers,BAL,LF,MLB,2026,50,Med,,24.8,"6' 4""",206,L,R,2022,Draft,BAL,$2.2M,California,,
41,1,Moisés Ballesteros,CHC,C,MLB,2026,50,Med,,22.5,"5' 8""",240,L,R,2021,Intl15,CHC,$1.2M,Venezuela,,
42,2,Ralphy Velazquez,CLE,1B,AAA,2027,50,High,,21,"6' 3""",230,L,R,2023,Draft,CLE,$2.5M,Huntington Beach HS (CA),,
43,3,Angel Genao,CLE,SS,AAA,2027,50,High,,22,"6' 0""",205,S,R,2021,Intl15,CLE,$1.2M,Dominican Republic,,
44,2,Eduardo Quintero,LAD,CF,A+,2028,50,Med,,20.7,"6' 0""",190,R,R,2023,Intl15,LAD,$298k,Venezuela,,
45,,Josuar Gonzalez,SFG,SS,CPX,2031,50,High,,18.6,"5' 10""",170,S,R,2025,Intl15,SFG,$3.0M,Dominican Republic,,
46,,Seth Hernandez,PIT,SP,A+,2029,50,High,,19.9,"6' 4""",200,R,R,2025,Draft,PIT,$7.3M,Corona HS (CA),,
47,,Eduardo Tait,MIN,C,A+,2029,50,High,,19.7,"6' 0""",225,L,R,2023,Intl15,PHI,$8k,Panama,,
48,1,Ethan Holliday,COL,3B,A,2029,50,High,,19.2,"6' 4""",230,L,R,2025,Draft,COL,$9.0M,Stillwater HS (OK),,
49,2,Arjun Nimmala,TOR,SS,AA,2028,50,High,,20.6,"6' 1""",215,R,R,2023,Draft,TOR,$3.0M,Strawberry Crest HS (FL),,
50,1,George Lombard Jr.,NYY,SS,AAA,2027,50,High,,21,"6' 2""",215,R,R,2023,Draft,NYY,$3.3M,Gulliver Schools (FL),,
51,4,Parker Messick,CLE,SP,MLB,2026,50,Low,,25.6,"6' 0""",220,L,L,2022,Draft,CLE,$1.3M,Florida State,,
52,3,Kade Anderson,SEA,SP,AA,2026,50,Med,,21.9,"6' 2""",186,L,L,2025,Draft,SEA,$8.8M,LSU,,
53,4,Jonny Farmelo,SEA,CF,A+,2028,50,High,,21.7,"6' 2""",210,L,R,2023,Draft,SEA,$3.2M,Westfield HS (VA),,
54,1,Tyler Bremner,LAA,SP,A+,2026,50,Low,,22.1,"6' 2""",190,R,R,2025,Draft,LAA,$7.7M,UC Santa Barbara,,
55,2,Elmer Rodríguez,NYY,SP,AAA,2026,50,Med,,22.8,"6' 3""",180,L,R,2021,Draft,BOS,$498k,Leadership Christian Academy (PR),,
56,5,Travis Bazzana,CLE,2B,MLB,2026,50,Low,,23.7,"6' 0""",199,L,R,2024,Draft,CLE,$9.0M,Oregon State,,
57,2,Jefferson Rojas,CHC,SS,AA,2028,50,Med,,21.1,"5' 10""",190,R,R,2022,Intl15,CHC,$1.0M,Dominican Republic,,
58,,Joe Mack,MIA,C,MLB,2026,50,High,,23.4,"6' 1""",215,L,R,2021,Draft,MIA,$2.5M,Williamsville East HS,,
59,3,Emil Morales,LAD,SS,A+,2030,50,High,,19.7,"6' 3""",210,R,R,2024,Intl15,LAD,$1.9M,Dominican Republic,,
60,3,Carlos Lagrange,NYY,SIRP,AAA,2027,50,High,,23,"6' 7""",240,R,R,2022,Intl15,NYY,$10k,Dominican Republic,,
61,3,Jonah Tong,NYM,SP,MLB,2026,50,Med,,23,"6' 1""",180,R,R,2022,Draft,NYM,$226k,Georgia Premier Academy,,
62,,Brody Hopkins,TBR,SP,AAA,2026,50,High,,24.3,"6' 4""",200,R,R,2023,Draft,SEA,$225k,Winthrop,,
63,3,Luis De León,BAL,SP,AA,2027,50,High,,23.1,"6' 3""",190,L,L,2021,Intl15,BAL,$30k,Dominican Republic,,
64,3,Hagen Smith,CHW,SP,AAA,2027,50,Med,,22.8,"6' 3""",215,L,L,2024,Draft,CHW,$8.0M,Arkansas,,
65,,Owen Caissie,MIA,RF,MLB,2026,50,Med,,23.9,"6' 3""",240,L,R,2020,Draft,SDP,$1.2M,Notre Dame Catholic HS (ON),,
66,2,Charlie Condon,COL,LF,AAA,2026,50,High,,23.1,"6' 6""",225,R,R,2024,Draft,COL,$9.3M,Georgia,,
67,4,Zyhir Hope,LAD,RF,AA,2028,50,High,,21.3,"5' 10""",230,L,L,2023,Draft,CHC,$400k,Colonial Forge HS (VA),,
68,5,Lazaro Montes,SEA,RF,AA,2027,50,High,,21.6,"6' 5""",215,L,L,2022,Intl15,SEA,$2.5M,Cuba,,
69,1,JR Ritchie,ATL,SP,AAA,2026,50,Med,,22.9,"6' 2""",185,R,R,2022,Draft,ATL,$2.4M,Bainbridge HS (WA),,
70,4,Dax Kilby,NYY,SS,A,2030,50,High,,19.5,"6' 2""",183,L,R,2025,Draft,NYY,$2.8M,Newnan HS (GA),,
71,2,Yolfran Castillo,TEX,SS,A,2030,50,High,,19.3,"6' 3""",190,R,R,2024,Intl15,TEX,$650k,Dominican Republic,,
72,3,Caden Scarborough,TEX,SP,CPX,2028,50,High,,21.1,"6' 5""",180,R,R,2023,Draft,TEX,$515k,Harmony HS (FL),,
73,2,Didier Fuentes,ATL,SP,MLB,2026,50,High,,20.9,"6' 0""",190,R,R,2022,Intl15,ATL,$760k,Colombia,,
74,3,Jake Bloss,TOR,SP,CPX,2026,50,Med,,24.9,"6' 3""",205,R,R,2023,Draft,HOU,$498k,Georgetown,,
75,2,Gage Jump,ATH,SP,AAA,2026,50,Med,,23.1,"6' 0""",197,L,L,2024,Draft,OAK,$2.0M,LSU,,
76,2,George Klassen,LAA,SP,AAA,2026,50,High,,24.3,"6' 2""",170,R,R,2023,Draft,PHI,$298k,Minnesota,,
77,3,Harry Ford,WSN,C,AAA,2026,50,Med,,23.3,"5' 10""",200,R,R,2021,Draft,SEA,$4.4M,North Cobb HS (GA),,
78,4,Jett Williams,MIL,CF,AAA,2026,50,High,,22.6,"5' 6""",178,R,R,2022,Draft,NYM,$3.9M,Rockwall-Heath HS (TX),,
79,5,Jeferson Quero,MIL,C,AAA,2026,50,High,,23.6,"5' 11""",215,R,R,2019,J2,MIL,$200k,Venezuela,,
80,3,Pedro Ramírez,CHC,2B,MLB,2026,50,Low,,22.1,"5' 8""",185,S,R,2021,Intl15,CHC,$75k,Venezuela,,
81,,Jhonny Level,SFG,SS,A,2030,50,Med,,19.1,"5' 10""",160,S,R,2024,Intl15,SFG,$998k,Venezuela,,
82,6,Michael Arroyo,SEA,2B,AA,2027,50,High,,21.6,"5' 8""",185,R,R,2022,Intl15,SEA,$1.3M,Colombia,,
83,4,Jack Wenninger,NYM,SP,AAA,2027,50,Med,,24.2,"6' 4""",210,R,R,2023,Draft,NYM,$225k,Illinois,,
84,2,Josh Hammond,KCR,SS,A,2029,50,High,,19.7,"6' 1""",215,R,R,2025,Draft,KCR,$3.2M,Wesleyan Christian (NC),,
85,,Aiva Arquette,MIA,SS,A+,2028,50,High,,22.6,"6' 5""",220,R,R,2025,Draft,MIA,$7.2M,Oregon State,,
86,4,Ronny Cruz,WSN,3B,A+,2030,50,High,,19.7,"6' 4""",175,S,R,2024,Draft,CHC,$620k,Miami Christian School (FL),,
87,5,Dorian Soto,BOS,SS,CPX,2031,50,High,,18.3,"6' 3""",185,S,R,2025,Intl15,BOS,$1.4M,Dominican Republic,,
88,6,Logan Henderson,MIL,SP,MLB,2026,50,Low,,24.2,"5' 11""",194,R,R,2021,Draft,MIL,$498k,McLennan JC (TX),,
89,4,David Davalillo,TEX,SP,AAA,2026,50,Med,,23.8,"6' 1""",190,R,R,2022,Intl15,TEX,$30k,Venezuela,,
90,4,Trey Gibson,BAL,SP,AAA,2026,50,Med,,24,"6' 5""",240,R,R,2023,UDFA,BAL,$20k,Liberty,,
91,6,Khal Stephen,CLE,SP,AA,2026,50,Low,,23.4,"6' 4""",215,R,R,2024,Draft,TOR,$1.1M,Mississippi State,,
92,,Michael Forret,TBR,SP,AA,2026,50,Low,,22.1,"6' 3""",190,L,R,2023,Draft,BAL,$450k,State College of Florida Manatee,,
93,4,Jimmy Crooks,STL,C,AAA,2026,50,Med,,24.8,"6' 0""",230,L,R,2022,Draft,STL,$470k,Oklahoma,,
94,5,Jurrangelo Cijntje,STL,SP,AA,2028,50,High,,23,"5' 11""",200,S,S,2024,Draft,SEA,$4.9M,Mississippi State,,
95,4,Christian Oppor,CHW,SP,CPX,2027,50,High,,21.8,"6' 2""",175,L,L,2023,Draft,CHW,$550k,Gulf Coast CC (FL),,
96,3,Kendry Chourio,KCR,SP,A,2029,50,High,,18.6,"6' 0""",160,R,R,2025,Intl15,KCR,$248k,Venezuela,,
97,,Kaelen Culpepper,MIN,SS,AAA,2027,50,Med,,23.4,"6' 0""",185,R,R,2024,Draft,MIN,$3.9M,Kansas State,,
98,2,Tommy Troy,ARI,2B,AAA,2026,50,Med,,24.3,"5' 10""",197,R,R,2023,Draft,ARI,$4.4M,Stanford,,
99,3,Roldy Brito,COL,CF,A,2028,50,High,,19.1,"5' 11""",183,S,R,2024,Intl15,COL,$420k,Dominican Republic,,
100,7,Felnin Celesten,SEA,SS,A+,2029,50,High,,20.7,"6' 1""",215,S,R,2023,Intl15,SEA,$4.9M,Dominican Republic,,
101,5,Braden Montgomery,CHW,RF,AAA,2027,50,High,,23.1,"6' 2""",220,S,R,2024,Draft,BOS,$5.0M,Texas A&M,,
102,5,Jacob Reimer,NYM,3B,AA,2027,50,Med,,22.3,"6' 2""",220,R,R,2022,Draft,NYM,$775k,Yucaipa HS (CA),,
103,,Edward Florentino,PIT,LF,A+,2029,50,High,,19.5,"6' 4""",200,L,R,2024,Intl15,PIT,$395k,Dominican Republic,,
104,3,Rhett Lowder,CIN,SP,MLB,2026,50,Low,,24.2,"6' 2""",200,R,R,2023,Draft,CIN,$5.7M,Wake Forest,,
