Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Bobby Witt Jr.,KCR,33.581,29.8601,8.5685,1.2981,5.0678,3.0391,0.3022,0.35624,0.490628
Pete Crow-Armstrong,CHC,33.0731,29.4617,7.5175,1.658,4.9625,2.7484,0.463,0.326268,0.490311
Junior Caminero,TBR,36.7791,32.7221,8.9484,2.3087,5.2642,3.4867,0.2575,0.345548,0.534122
Yordan Alvarez,HOU,32.9133,27.1116,8.1223,1.8167,5.4597,4.9469,0.4937,0.413755,0.563449
Elly De La Cruz,CIN,33.5562,29.4402,7.8849,1.3872,4.8618,3.5469,0.2013,0.348147,0.481298
Juan Soto,NYM,32.4421,25.771,7.1178,1.7695,5.3739,6.1608,0.1622,0.415869,0.533557
Kevin McGonigle,DET,33.9827,29.15,7.952,0.9895,4.7469,4.2308,0.2039,0.366475,0.441883
Gunnar Henderson,BAL,33.0821,28.9646,7.4398,1.2725,4.3455,3.4306,0.3639,0.340512,0.454762
Fernando Tatis Jr.,SDP,34.1995,29.8615,8.3328,1.4674,5.2407,3.5738,0.342,0.360394,0.485431
Julio Rodríguez,SEA,32.4113,29.3196,7.7684,1.3772,4.181,2.392,0.3889,0.326227,0.456903
Mookie Betts,LAD,33.003,28.9365,7.8722,1.2697,4.5988,3.4917,0.231,0.352617,0.464818
Gabriel Moreno,ARI,28.9816,25.4618,7.3202,0.7965,3.5763,3.0083,0.2608,0.365922,0.444505
Cal Raleigh,SEA,30.1361,25.8145,5.5642,1.7144,3.9232,3.7851,0.2712,0.319862,0.453931
Francisco Lindor,NYM,33.9636,29.8248,7.5576,1.4068,4.7885,3.196,0.5434,0.334457,0.449917
José Ramírez,CLE,33.1325,29.2093,7.7979,1.2791,4.586,3.3696,0.2319,0.344944,0.46135
Geraldo Perdomo,ARI,32.5083,27.6168,7.3004,0.6235,4.1005,4.2196,0.3576,0.366446,0.395864
Ketel Marte,ARI,33.3697,29.2004,7.9951,1.3773,4.8283,3.4304,0.3671,0.355037,0.480969
Corey Seager,TEX,30.278,26.3367,6.859,1.4064,4.1896,3.3185,0.3028,0.347379,0.470682
Isaac Paredes,HOU,32.6617,27.8634,6.9971,1.322,4.188,3.7332,0.7839,0.353015,0.444773
Ronald Acuña Jr.,ATL,33.1859,28.0976,7.7069,1.4505,5.1371,4.3407,0.365,0.37589,0.481522
JJ Wetherholt,STL,33.3279,28.8306,7.4271,0.9868,4.4446,3.4128,0.6666,0.34752,0.407747
William Contreras,MIL,30.0964,26.2117,7.1338,0.9596,3.7161,3.422,0.2107,0.358279,0.438796
Vladimir Guerrero Jr.,TOR,33.1347,28.7724,8.3275,1.3098,4.5558,3.7111,0.3313,0.374264,0.482959
Jackson Merrill,SDP,31.4427,28.8277,7.5037,1.2432,3.8436,2.0846,0.2201,0.31269,0.455926
Corbin Carroll,ARI,32.4263,28.0308,7.0035,1.3071,4.6479,3.6253,0.4215,0.342083,0.479144
Jeremy Peña,HOU,32.9736,30.0647,7.9909,1.0589,4.3122,1.9158,0.5935,0.320353,0.428463
Cody Bellinger,NYY,36.8901,32.9971,8.7335,1.379,4.7346,3.3644,0.1845,0.333749,0.448558
Michael Harris II,ATL,31.5363,29.7078,8.2665,1.278,3.9409,1.3119,0.2208,0.311518,0.468133
Alex Bregman,CHC,32.4948,28.2518,7.2533,1.1682,4.1002,3.5127,0.4549,0.345876,0.435848
Dillon Dingler,DET,27.9975,25.5355,6.2794,1.0807,3.237,1.6882,0.504,0.303285,0.428298
Wyatt Langford,TEX,32.1134,27.604,6.8594,1.2362,4.1798,3.9018,0.289,0.34515,0.441201
Ben Rice,NYY,37.6506,32.3462,8.0607,2.0856,5.5415,4.3863,0.4895,0.345262,0.497746
Miguel Vargas,CHW,32.7576,28.0033,6.8029,1.2893,4.2037,4.0947,0.3603,0.344351,0.438977
James Wood,WSN,34.1607,28.5939,7.4459,1.5868,5.2133,4.9123,0.2391,0.370987,0.486842
