Name,Team,PA,AB,H,HR,R,BB,HBP,OBP,SLG
Aaron Judge,NYY,584,471,132,38,97,102,6,0.410959,0.575372
Cal Raleigh,SEA,621,536,122,38,81,76,5,0.326892,0.481343
Bobby Witt Jr.,KCR,656,593,169,26,98,50,6,0.342988,0.50253
Shohei Ohtani,LAD,693,591,165,46,131,93,5,0.379509,0.57868
Juan Soto,NYM,666,529,142,36,108,129,3,0.41203,0.521739
Julio Rodríguez,SEA,663,601,163,29,96,50,10,0.33635,0.470882
Gunnar Henderson,BAL,647,571,155,26,96,66,6,0.35085,0.483363
Wyatt Langford,TEX,627,545,147,30,93,73,5,0.358852,0.500917
Fernando Tatis Jr.,SDP,643,561,152,28,101,74,6,0.360809,0.479501
Corbin Carroll,ARI,660,572,148,28,114,71,10,0.348024,0.496504
Pete Crow-Armstrong,CHC,612,556,144,26,94,35,9,0.310231,0.467626
William Contreras,MIL,647,565,152,20,86,75,3,0.355487,0.433628
Elly De La Cruz,CIN,650,581,155,25,103,64,3,0.342065,0.473322
Francisco Lindor,NYM,633,559,143,23,92,57,11,0.333333,0.434705
José Ramírez,CLE,600,531,141,23,81,59,4,0.34,0.461394
Ronald Acuña Jr.,ATL,538,448,126,26,103,82,7,0.399628,0.506696
Jackson Merrill,SDP,573,523,144,23,77,39,3,0.326316,0.478011
Adley Rutschman,BOS,567,497,125,17,64,62,3,0.335097,0.412475
Zach Neto,LAA,615,543,139,26,89,46,19,0.333333,0.464088
Alejandro Kirk,TOR,466,411,110,13,41,46,4,0.343348,0.406326
Geraldo Perdomo,ARI,599,501,132,13,86,74,7,0.36163,0.407186
Roman Anthony,BOS,615,522,139,20,94,84,5,0.370732,0.448276
Kyle Tucker,LAD,570,488,128,27,83,76,3,0.363796,0.485656
Junior Caminero,TBR,631,576,157,36,83,46,4,0.328051,0.512153
Vladimir Guerrero Jr.,TOR,659,574,166,28,89,75,6,0.37481,0.494774
Drake Baldwin,ATL,509,454,120,21,58,49,5,0.341847,0.464758
Konnor Griffin,PIT,623,558,145,17,104,38,22,0.330113,0.408602
Carter Jensen,KCR,614,546,137,20,75,61,2,0.326264,0.421245
Nick Kurtz,ATH,612,532,141,34,98,74,3,0.356209,0.518797
Michael Harris II,ATL,603,566,156,21,74,26,5,0.311148,0.452297
Mookie Betts,LAD,578,501,134,18,82,67,4,0.354671,0.437126
Corey Seager,TEX,474,415,106,20,61,52,4,0.341772,0.450602
Bo Bichette,NYM,595,549,157,17,71,40,3,0.336134,0.440801
Riley Greene,DET,632,567,150,29,84,57,4,0.333861,0.479718
Oneil Cruz,PIT,571,498,122,26,78,64,4,0.33275,0.461847
Matt McLain,CIN,588,516,129,21,81,59,8,0.334471,0.428295
Ceddanne Rafaela,BOS,586,543,144,18,85,29,8,0.309932,0.436464
Masyn Winn,STL,602,547,139,13,82,44,5,0.313333,0.38574
Jarren Duran,BOS,625,563,144,18,85,51,8,0.325321,0.445826
Willy Adames,SFG,626,554,130,23,78,64,3,0.314696,0.411552
Nico Hoerner,CHC,617,565,154,9,78,38,10,0.327391,0.378761
Byron Buxton,MIN,453,404,99,23,71,36,9,0.317881,0.487624
Maikel Garcia,KCR,632,567,153,11,82,54,1,0.330684,0.398589
Trea Turner,PHI,562,515,141,15,78,39,5,0.329181,0.423301
Jackson Chourio,MIL,633,582,160,24,94,40,3,0.321712,0.474227
Shea Langeliers,ATH,554,503,129,30,72,43,4,0.31769,0.49503
Cody Bellinger,NYY,583,524,139,21,79,46,4,0.324185,0.44084
Ketel Marte,ARI,542,472,122,21,75,59,6,0.345018,0.45339
Patrick Bailey,CLE,409,369,85,9,42,31,2,0.289926,0.357724
CJ Abrams,WSN,630,572,148,20,91,39,14,0.319555,0.435315
