#,Name,Team,G,PA,AB,H,HR,R,BB,HBP,OBP,SLG,wOBA,wRC+,ADP
1,Bobby Witt Jr.,KCR,152,656,591,168,26,99,52,6,0.345,0.499,0.356,127,999
2,Juan Soto,NYM,152,666,528,141,34,107,130,3,0.412,0.509,0.393,158,999
3,Cal Raleigh,SEA,152,621,537,118,35,77,75,5,0.319,0.454,0.331,119,999
4,Julio Rodríguez,SEA,152,663,599,161,29,96,52,10,0.336,0.469,0.342,127,999
5,Gunnar Henderson,BAL,152,647,570,154,27,97,67,6,0.351,0.484,0.357,132,999
6,Aaron Judge,NYY,123,540,437,117,31,84,93,6,0.4,0.533,0.394,157,999
7,Wyatt Langford,TEX,152,634,550,147,31,94,75,5,0.358,0.498,0.365,137,999
8,Pete Crow-Armstrong,CHC,152,612,554,146,27,96,37,9,0.317,0.478,0.338,119,999
9,Shohei Ohtani,LAD,144,657,562,152,41,120,87,4,0.37,0.55,0.388,152,999
10,Fernando Tatis Jr.,SDP,146,633,551,147,27,99,74,6,0.359,0.468,0.353,131,999
11,Corbin Carroll,ARI,152,660,571,147,28,115,72,10,0.348,0.492,0.358,130,999
12,Elly De La Cruz,CIN,152,650,580,154,26,104,65,3,0.342,0.474,0.346,118,999
13,Jackson Merrill,SDP,151,595,542,150,25,81,42,3,0.329,0.485,0.345,126,999
14,Zach Neto,LAA,152,621,547,143,27,92,48,19,0.34,0.475,0.346,122,999
15,Konnor Griffin,PIT,147,652,582,153,19,112,42,23,0.335,0.419,0.327,108,999
16,Junior Caminero,TBR,152,631,574,158,38,86,48,4,0.333,0.523,0.351,126,999
17,William Contreras,MIL,152,647,565,149,19,84,75,3,0.351,0.421,0.329,112,999
18,Carter Jensen,KCR,152,637,564,143,22,81,65,3,0.332,0.431,0.327,107,999
19,Roman Anthony,BOS,148,640,543,144,22,99,88,5,0.37,0.453,0.356,126,999
20,Nick Kurtz,ATH,152,637,551,148,36,104,79,4,0.363,0.528,0.379,143,999
21,Ronald Acuña Jr.,ATL,123,548,456,127,26,104,84,7,0.398,0.5,0.385,149,999
22,Drake Baldwin,ATL,135,530,471,124,22,60,52,6,0.343,0.465,0.343,120,999
23,Adley Rutschman,BAL,136,568,498,125,17,64,62,3,0.335,0.412,0.32,107,999
24,Geraldo Perdomo,ARI,152,599,501,130,13,85,74,7,0.358,0.399,0.331,112,999
25,Alejandro Kirk,TOR,120,451,397,105,12,39,45,4,0.341,0.398,0.313,101,999
26,Michael Harris II,ATL,152,603,564,156,21,75,28,5,0.314,0.454,0.325,108,999
27,Vladimir Guerrero Jr.,TOR,152,659,573,164,27,88,76,6,0.373,0.485,0.362,135,999
28,Francisco Lindor,NYM,132,587,519,129,19,82,53,10,0.327,0.412,0.319,108,999
29,Masyn Winn,STL,142,604,547,140,13,84,46,5,0.317,0.388,0.304,96,999
30,Jackson Chourio,MIL,152,633,580,161,25,97,42,3,0.326,0.483,0.339,118,999
31,Kyle Tucker,LAD,131,552,473,122,25,79,74,3,0.361,0.469,0.355,129,999
32,Riley Greene,DET,152,634,567,150,29,84,59,4,0.336,0.48,0.345,122,999
33,José Ramírez,CLE,130,554,490,127,19,72,54,4,0.334,0.441,0.332,114,999
34,Matt McLain,CIN,143,590,517,129,21,81,60,8,0.335,0.427,0.328,106,999
35,Kevin McGonigle,DET,107,447,389,100,16,67,49,3,0.341,0.46,0.34,119,999
36,James Wood,WSN,152,650,561,150,29,92,83,3,0.363,0.492,0.365,136,999
37,Ceddanne Rafaela,BOS,149,585,540,142,18,85,31,8,0.31,0.431,0.314,97,999
38,Oneil Cruz,PIT,140,567,494,121,25,77,64,4,0.333,0.457,0.337,115,999
39,Bo Bichette,NYM,135,582,536,152,16,69,40,3,0.335,0.435,0.324,111,999
40,JJ Wetherholt,STL,127,553,484,124,12,71,56,10,0.344,0.38,0.316,105,999
41,CJ Abrams,WSN,152,630,571,148,20,91,40,14,0.321,0.433,0.324,107,999
42,Maikel Garcia,KCR,150,625,561,150,11,81,54,1,0.33,0.396,0.31,95,999
43,Carson Williams,TBR,142,572,511,118,23,78,51,6,0.307,0.421,0.311,98,999
44,Andy Pages,LAD,152,600,544,142,25,76,39,10,0.319,0.461,0.33,112,999
45,Gabriel Moreno,ARI,105,384,341,93,9,44,37,3,0.346,0.408,0.32,104,999
46,Max Clark,DET,132,599,524,129,17,86,70,3,0.337,0.393,0.319,104,999
47,Jackson Holliday,BAL,152,647,572,145,20,91,67,6,0.337,0.416,0.328,112,999
48,Colt Emerson,SEA,143,630,557,131,12,76,55,12,0.314,0.364,0.295,94,999
49,Samuel Basallo,BAL,137,544,490,123,28,70,46,5,0.32,0.476,0.332,115,999
50,Matt Shaw,CHC,144,557,493,124,18,73,51,7,0.327,0.42,0.322,108,999
51,Corey Seager,TEX,105,448,392,98,18,56,49,4,0.337,0.436,0.33,113,999
52,Ezequiel Tovar,COL,137,568,525,142,19,73,32,3,0.314,0.455,0.323,93,999
53,Shea Langeliers,ATH,141,555,503,128,28,71,44,4,0.317,0.481,0.334,112,999
54,Francisco Alvarez,NYM,129,480,422,99,23,59,49,7,0.323,0.445,0.322,110,999
55,Nico Hoerner,CHC,141,590,541,146,8,73,36,9,0.324,0.373,0.302,94,999
56,Alex Freeland,LAD,138,601,521,121,18,77,67,8,0.327,0.392,0.312,100,999
57,Anthony Volpe,NYY,152,614,554,130,19,75,49,5,0.301,0.403,0.301,93,999
58,Willy Adames,SFG,140,592,524,122,21,72,60,3,0.313,0.405,0.307,98,999
59,Jordan Westburg,BAL,112,466,429,111,19,68,30,6,0.315,0.455,0.327,111,999
60,Brice Matthews,HOU,127,528,462,110,19,69,54,9,0.328,0.422,0.323,108,999
61,Brice Turang,MIL,152,610,547,141,14,79,55,1,0.325,0.388,0.307,97,999
62,Jakob Marsee,MIA,149,647,551,133,16,82,76,8,0.34,0.399,0.323,106,999
63,Colson Montgomery,CHW,132,553,495,113,25,70,47,9,0.306,0.43,0.313,100,999
64,Sal Stewart,CIN,146,578,517,139,24,85,51,6,0.339,0.466,0.341,114,999
65,Patrick Bailey,CLE,109,387,349,79,8,39,30,2,0.288,0.35,0.271,74,999
66,Agustín Ramírez,MIA,152,645,584,146,24,89,50,7,0.315,0.435,0.316,101,999
67,Jarren Duran,BOS,139,594,534,134,16,79,49,8,0.322,0.429,0.323,103,999
68,Travis Bazzana,CLE,109,476,411,96,13,74,55,8,0.335,0.394,0.321,107,999
69,Yordan Alvarez,HOU,113,471,402,111,22,60,58,6,0.372,0.502,0.37,140,999
70,Spencer Jones,NYY,128,551,496,122,27,83,48,4,0.316,0.474,0.335,117,999
71,Kyle Teel,CHW,126,513,450,111,13,67,56,4,0.334,0.38,0.313,100,999
72,Luke Keaschall,MIN,98,410,354,94,10,57,41,12,0.359,0.421,0.339,117,999
73,Cody Bellinger,NYY,132,557,501,131,19,73,44,3,0.32,0.431,0.319,105,999
74,Lawrence Butler,ATH,143,575,517,132,22,81,53,1,0.324,0.445,0.326,107,999
75,Andrés Giménez,TOR,129,497,445,112,11,57,29,16,0.318,0.38,0.3,92,999
76,Joe Mack,MIA,119,494,446,105,17,61,39,6,0.304,0.401,0.3,90,999
77,Matt Wallner,MIN,128,502,430,103,23,62,56,14,0.345,0.467,0.349,124,999
78,Kaelen Culpepper,MIN,125,534,484,121,16,69,38,12,0.32,0.395,0.308,96,999
79,Jacob Reimer,NYM,140,561,493,116,18,83,49,15,0.321,0.418,0.313,104,999
80,Steven Kwan,CLE,145,623,555,152,9,79,57,5,0.345,0.377,0.317,104,999
81,Dillon Dingler,DET,104,403,366,88,12,45,28,7,0.305,0.402,0.3,91,999
82,Jeremy Peña,HOU,137,575,526,137,15,68,33,11,0.316,0.397,0.306,96,999
83,Mookie Betts,LAD,121,534,463,120,15,73,61,4,0.346,0.413,0.328,111,999
84,Jett Williams,MIL,142,606,532,126,16,87,64,6,0.324,0.412,0.317,104,999
85,Michael Arroyo,SEA,139,636,548,123,16,83,56,29,0.327,0.365,0.304,100,999
86,Michael Busch,CHC,143,570,499,125,25,79,59,9,0.339,0.461,0.343,122,999
87,Trent Grisham,NYY,135,490,417,91,21,64,64,5,0.328,0.412,0.321,107,999
88,Austin Wells,NYY,117,447,396,92,19,49,40,5,0.306,0.432,0.311,100,999
89,Ketel Marte,ARI,120,511,445,113,18,68,55,6,0.341,0.436,0.331,111,999
90,Josue Briceño,DET,114,489,428,101,17,66,51,6,0.323,0.407,0.316,102,999
91,Isaac Paredes,HOU,137,547,468,110,21,59,63,13,0.34,0.419,0.326,110,999
92,Leo Bernal,STL,119,481,436,105,12,53,38,3,0.305,0.372,0.29,87,999
93,Owen Caissie,MIA,131,552,486,126,19,69,59,4,0.342,0.444,0.34,117,999
94,Brett Baty,NYM,132,487,438,109,19,60,43,4,0.32,0.425,0.318,107,999
95,Will Smith,LAD,106,439,375,92,14,55,50,8,0.342,0.411,0.325,108,999
96,Harry Ford,WSN,115,509,440,105,11,63,57,10,0.338,0.366,0.308,96,999
97,Jac Caglianone,KCR,143,578,512,137,28,81,53,9,0.344,0.486,0.351,123,999
98,Cole Young,SEA,148,584,513,123,13,69,57,8,0.324,0.376,0.304,100,999
99,Hao-Yu Lee,DET,125,547,488,119,14,73,46,9,0.318,0.391,0.303,93,999
100,Sam Antonacci,CHW,126,548,457,113,5,76,50,31,0.359,0.352,0.315,102,999
101,Bo Naylor,CLE,120,423,369,82,15,52,47,2,0.311,0.407,0.309,99,999
102,Zach Ehrhard,LAD,132,542,478,116,16,77,48,10,0.322,0.412,0.318,104,999
103,Daulton Varsho,TOR,116,436,394,90,20,60,34,4,0.294,0.442,0.313,101,999
104,Brendan Donovan,SEA,130,523,459,119,10,61,49,10,0.341,0.381,0.316,109,999
105,Aidan Miller,PHI,127,567,499,118,13,74,57,10,0.326,0.375,0.308,95,999
106,Byron Buxton,MIN,105,422,376,88,19,63,34,8,0.308,0.452,0.325,108,999
107,Zach Cole,HOU,121,502,442,101,19,63,49,9,0.317,0.428,0.32,106,999
108,Wilyer Abreu,BOS,123,462,405,99,18,61,51,2,0.329,0.437,0.327,106,999
109,Matt Chapman,SFG,114,461,403,94,16,60,50,6,0.325,0.414,0.319,106,999
110,Caleb Durbin,BOS,124,494,434,113,9,66,36,17,0.339,0.394,0.317,99,999
111,Colton Cowser,BAL,124,492,433,106,19,65,48,8,0.329,0.432,0.326,111,999
112,Dalton Rushing,LAD,101,393,337,77,16,50,43,10,0.331,0.421,0.325,109,999
113,Max Muncy,ATH,119,461,413,106,14,56,34,9,0.325,0.421,0.32,102,999
114,Emmanuel Rodriguez,MIN,87,364,303,71,11,55,57,3,0.36,0.413,0.339,118,999
115,Austin Riley,ATL,121,519,466,119,21,66,42,7,0.324,0.448,0.327,109,999
116,Jace Jung,DET,132,537,465,107,17,64,66,3,0.328,0.396,0.312,99,999
117,Hunter Goodman,COL,152,605,554,142,28,75,39,7,0.311,0.477,0.328,97,999
118,Ryan Waldschmidt,ARI,132,583,505,122,11,80,62,12,0.336,0.368,0.312,99,999
119,George Lombard Jr.,NYY,144,612,535,118,12,82,62,12,0.314,0.357,0.297,90,999
120,Nolan Gorman,STL,129,480,427,98,22,59,49,1,0.308,0.433,0.318,106,999
121,Ronny Mauricio,NYM,119,468,433,105,16,55,30,4,0.297,0.404,0.298,93,999
122,Jordan Lawlar,ARI,113,466,411,100,12,64,44,7,0.325,0.404,0.314,100,999
123,Jack Suwinski,LAD,131,474,407,94,25,63,56,6,0.33,0.467,0.342,120,999
124,Jazz Chisholm Jr.,NYY,133,533,468,111,24,69,56,5,0.323,0.434,0.327,111,999
125,Trea Turner,PHI,116,511,469,124,12,68,36,4,0.321,0.399,0.309,96,999
126,Leo De Vries,ATH,132,576,514,123,17,75,50,7,0.314,0.411,0.314,98,999
127,Bryson Stott,PHI,138,529,470,120,12,63,49,2,0.324,0.383,0.307,94,999
128,Ryan Ritter,COL,122,489,431,112,14,67,39,11,0.335,0.425,0.326,95,999
129,Dansby Swanson,CHC,126,516,468,109,14,63,43,2,0.298,0.374,0.29,86,999
130,Xavier Edwards,MIA,127,543,485,132,4,63,47,2,0.336,0.351,0.301,91,999
131,Jesus Rodriguez,SFG,123,517,468,126,6,57,41,5,0.333,0.365,0.302,95,999
132,Mark Vientos,NYM,134,528,478,120,22,59,40,6,0.314,0.446,0.32,108,999
133,Shay Whitcomb,HOU,120,485,441,106,20,63,35,6,0.303,0.426,0.309,98,999
