Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
Paul Skenes,PIT,12.8395,12.8395,75.1508,7.27293,91.8692,19.8001,0.871,1.07439,2.96344
Cristopher Sánchez,PHI,12.8395,12.8395,80.1551,6.80428,81.5525,19.6333,0.764,1.13943,2.96516
Tarik Skubal,DET,11.88,11.88,72.2264,7.29487,86.8892,15.3522,0.909,1.01683,2.79787
Zack Wheeler,PHI,12.35,12.35,75.3222,8.38587,87.0173,19.7074,1.002,1.09388,3.15257
Chris Sale,ATL,12.06,12.06,72.5183,7.59831,88.0043,19.726,0.943,1.09473,3.15941
Jacob Misiorowski,MIL,11.88,15.1393,74.2291,7.91777,98.137,29.725,0.96,1.14304,3.14783
Jesús Luzardo,PHI,12.8395,12.8395,75.2072,8.56526,85.5852,24.3558,1.025,1.16993,3.32389
Dylan Cease,TOR,12.54,12.54,71.6983,7.87088,91.3047,28.4644,0.988,1.18844,3.33644
Jacob deGrom,TEX,11.88,11.88,67.8885,9.08197,81.684,15.7758,1.204,1.07165,3.36552
Logan Webb,SFG,12.54,12.54,78.2622,6.57402,69.5121,21.1347,0.756,1.24752,3.44365
Chase Burns,CIN,11.39,14.6986,66.7222,9.23732,77.3886,22.9586,1.246,1.19961,3.74619
Nathan Eovaldi,TEX,11.88,11.88,71.8299,8.28438,73.3829,18.5968,1.038,1.17309,3.50528
Yoshinobu Yamamoto,LAD,10.4,10.4,63.6858,6.97713,66.3177,19.0612,0.986,1.20016,3.43258
Drew Rasmussen,TBR,12.92,12.92,71.6195,8.31582,69.3207,17.6286,1.045,1.19252,3.68639
Hunter Greene,CIN,12.06,12.06,71.5442,10.9224,85.8579,25.4411,1.374,1.20224,3.96418
Joe Ryan,MIN,11.7,11.7,67.8467,9.24977,76.0884,16.8415,1.227,1.11395,3.63246
Ranger Suarez,BOS,12.24,12.24,71.0318,7.52937,66.6333,21.5318,0.954,1.26992,3.68253
Sonny Gray,BOS,12.24,12.24,72.0209,8.50647,72.7869,19.9199,1.063,1.24148,3.83361
Braxton Ashcraft,PIT,11.7,14.9099,70.6879,7.88563,70.6905,21.2362,1.004,1.22356,3.6663
Logan Gilbert,SEA,12.35,12.35,73.9063,9.84596,80.6658,17.7665,1.199,1.10615,3.49197
Shohei Ohtani,LAD,9.75,9.75,55.0396,6.39682,63.4676,17.8676,1.046,1.15703,3.36729
Framber Valdez,DET,12.54,12.54,76.4431,6.67603,67.4336,26.0942,0.786,1.31051,3.65365
Hunter Brown,HOU,11.52,11.52,67.5268,7.65304,74.5308,25.2652,1.02,1.25189,3.66533
Kevin Gausman,TOR,13.037,13.037,77.7355,10.7448,77.1121,23.6001,1.244,1.24887,4.02688
Nolan McLean,NYM,11.7,11.7,68.9293,6.85464,72.468,27.2381,0.895,1.27403,3.52817
José Soriano,LAA,12.35,12.35,71.0919,6.1218,69.6029,32.3084,0.775,1.37635,3.61258
Foster Griffin,WSN,11.05,11.05,66.961,8.385,62.9346,18.0184,1.127,1.23613,3.80224
Cam Schlittler,NYY,11.88,11.88,69.0478,8.72304,73.0919,22.9961,1.137,1.21137,3.66798
MacKenzie Gore,TEX,12.54,12.54,69.8025,8.91921,78.7096,27.4167,1.15,1.25741,3.7805
George Kirby,SEA,11.7,11.7,69.5998,8.73091,66.2343,14.3257,1.129,1.14501,3.59212
Max Meyer,MIA,11.7,11.7,67.7731,8.33609,69.308,23.509,1.107,1.2705,3.87209
Shane McClanahan,TBR,11.56,11.56,63.7096,7.85752,66.0178,20.82,1.11,1.23301,3.70878
Aaron Nola,PHI,12.35,12.35,68.6696,10.2318,67.6934,19.2816,1.341,1.23909,4.02512
Reid Detmers,LAA,11.7,11.7,67.8419,8.91744,73.1141,25.3497,1.183,1.25166,3.8741
Sandy Alcantara,MIA,12.35,12.35,76.8417,9.34907,64.2817,22.7921,1.095,1.31529,4.18512
Kyle Bradish,BAL,11.7,11.7,68.6716,8.08036,70.4775,26.6429,1.059,1.31661,3.89313
Bryan Woo,SEA,11.05,11.05,64.9282,8.96009,64.965,14.7527,1.242,1.12926,3.62292
Michael King,SDP,12.54,12.54,72.4819,9.39849,70.8526,28.0037,1.167,1.31495,4.02225
Jared Jones,PIT,9.75,13.7623,56.2318,6.82904,60.6759,19.5307,1.093,1.2286,3.70737
