Name,Team,GS,G,IP,HR,SO,BB,HR/9,WHIP,ERA
Tarik Skubal,LAD,30,30,182.3,17,218,32,0.839276,0.970927,2.66594
Paul Skenes,PIT,33,33,185.3,16,205,45,0.777118,1.03076,2.76848
Garrett Crochet,BOS,28,28,166,16,198,43,0.86747,1.10843,2.92771
Logan Webb,SFG,30,30,189.3,15,175,39,0.713154,1.13576,3.13788
Cristopher Sánchez,PHI,28,28,170,15,163,39,0.794118,1.14706,3.33529
Yoshinobu Yamamoto,LAD,27,27,165,18,175,41,0.981818,1.0303,3.38182
Hunter Brown,HOU,27,29,163.3,16,172,52,0.881813,1.15126,3.08634
Dylan Cease,TOR,29,29,157,18,177,58,1.03185,1.21019,3.66879
Hunter Greene,CIN,25,25,143.7,17,161,43,1.06472,1.0508,3.6952
Bryan Woo,SEA,26,27,157.3,19,158,31,1.08709,1.02352,3.3185
Andrew Abbott,CIN,28,28,156.7,19,139,45,1.09126,1.2508,3.96299
Max Fried,NYY,26,26,159.3,15,141,45,0.847458,1.17389,3.55932
Jesús Luzardo,PHI,27,27,156,20,168,46,1.15385,1.19231,3.98077
MacKenzie Gore,TEX,28,28,151.7,16,166,54,0.949242,1.2327,3.91562
Cole Ragans,KCR,22,24,122.3,13,146,42,0.956664,1.17743,3.67948
George Kirby,SEA,27,27,146,17,140,27,1.04795,1.10959,3.63699
Ranger Suarez,BOS,26,27,147,14,125,44,0.857143,1.29932,3.61224
Spencer Schwellenbach,ATL,21,21,131.7,15,127,23,1.02506,1.06302,3.41686
Pablo López,MIN,25,25,140.7,16,135,36,1.02345,1.20114,3.83795
Chase Burns,CIN,21,27,106,13,119,27,1.10377,1.12264,3.73585
Spencer Strider,ATL,25,26,141,18,165,44,1.14894,1.1773,3.82979
Logan Gilbert,SEA,27,28,151.7,20,159,37,1.18655,1.09426,3.50033
Shane McClanahan,TBR,21,21,119,14,122,32,1.05882,1.13445,3.40336
Joe Ryan,MIN,26,26,145.3,21,151,34,1.30076,1.12182,3.84033
Framber Valdez,DET,25,25,158,15,133,53,0.85443,1.26582,3.75949
Taj Bradley,MIN,27,27,144.3,17,133,46,1.06029,1.23354,4.05405
Kris Bubic,LAD,20,24,112.3,10,111,37,0.801425,1.25557,3.52627
Tanner Bibee,CLE,26,26,156.3,20,142,42,1.15163,1.17722,3.68522
Corbin Burnes,ARI,24,24,145.3,14,131,44,0.867171,1.17688,3.28286
Jack Leiter,TEX,27,27,144,17,133,53,1.0625,1.21528,4
Freddy Peralta,TBR,29,29,149,20,157,55,1.20805,1.21477,3.92617
Chris Sale,ATL,20,21,115.7,13,130,33,1.01124,1.21003,3.42264
Sandy Alcantara,MIA,24,24,149,16,119,40,0.966443,1.20805,4.10738
Brandon Pfaadt,ARI,28,28,152.3,19,138,33,1.12278,1.18844,4.07748
Jonah Tong,NYM,25,26,120.3,14,131,45,1.04738,1.23857,3.96509
Zebby Matthews,MIN,22,23,114,15,115,27,1.18421,1.21053,3.86842
Trevor Rogers,BAL,24,24,127.7,14,110,38,0.986688,1.25294,3.94675
Bubba Chandler,PIT,25,27,128,13,121,45,0.914062,1.22656,3.79688
Brady Singer,CIN,29,29,152.7,21,142,50,1.23772,1.29011,4.47937
José Soriano,TOR,23,29,137.3,11,127,58,0.721049,1.31828,3.99854
Sonny Gray,BOS,24,24,134,18,131,39,1.20896,1.30597,4.09701
Brayan Bello,BOS,28,29,152.3,16,128,51,0.945502,1.2935,3.95929
Drew Rasmussen,TBR,27,28,132.3,16,109,33,1.08844,1.16402,3.67347
Michael McGreevy,STL,27,28,149,16,108,34,0.966443,1.21477,3.86577
Jacob deGrom,TEX,24,24,130.7,20,133,34,1.3772,1.13236,3.7873
Cam Schlittler,NYY,25,27,128.3,16,128,43,1.12237,1.2159,3.92829
Simeon Woods Richardson,TOR,24,26,125.3,15,113,42,1.07741,1.26097,4.02235
Kevin Gausman,CHC,25,25,141,20,132,42,1.2766,1.29078,4.02128
Eury Pérez,MIA,27,27,114.3,14,113,37,1.10236,1.1636,3.93701
Gavin Williams,CLE,27,27,144.3,17,144,54,1.06029,1.23354,3.55509
Zack Wheeler,PHI,20,20,122,15,120,35,1.10656,1.19672,3.68852
Kyle Bradish,BAL,20,20,99.3,10,99,32,0.906344,1.19839,3.62538
Justin Steele,CHC,23,23,127,14,115,35,0.992126,1.19685,3.61417
Logan Henderson,MIL,23,24,106.7,14,107,31,1.18088,1.15276,3.88004
Robby Snelling,MIA,25,25,124,14,114,41,1.01613,1.27419,3.84677
Connelly Early,WSN,22,25,108.7,11,108,37,0.910764,1.23275,3.89144
Trey Yesavage,TOR,26,29,113,12,117,44,0.955752,1.19469,3.66372
Nick Lodolo,CIN,24,25,128.7,17,128,34,1.18881,1.18881,4.33566
Aaron Nola,PHI,22,22,129.3,20,125,32,1.39211,1.23743,4.38515
Bailey Ober,MIN,25,25,137,21,118,32,1.37956,1.23358,4.27007
