1,Tarik Skubal,DET,29,29,181,56,17,210,32,0.85,1,2.78,999
2,Paul Skenes,PIT,33,33,187,59,17,203,43,0.82,1.03,2.84,999
3,Garrett Crochet,BOS,27,27,162.2,55,17,189,41,0.94,1.13,3.04,999
4,Logan Webb,SFG,28,28,181.1,66,15,163,38,0.74,1.16,3.28,999
5,Yoshinobu Yamamoto,LAD,26,26,164.2,64,19,170,40,1.04,1.04,3.5,999
6,Cristopher Sánchez,PHI,27,27,164.2,63,16,153,38,0.87,1.18,3.44,999
7,Hunter Brown,HOU,26,28,162.2,57,16,167,51,0.89,1.16,3.15,999
8,Hunter Greene,CIN,26,26,151.1,63,19,166,43,1.13,1.06,3.75,999
9,Dylan Cease,TOR,27,27,151.1,63,18,166,54,1.07,1.22,3.75,999
10,Bryan Woo,SEA,25,26,155.2,58,19,152,30,1.1,1.03,3.35,999
11,Andrew Abbott,CIN,27,27,153,68,19,134,43,1.12,1.27,4,999
12,Jesús Luzardo,PHI,26,26,153.2,70,20,160,45,1.17,1.21,4.1,999
13,Cole Ragans,KCR,22,24,123.2,52,13,143,42,0.95,1.19,3.78,999
14,MacKenzie Gore,TEX,27,27,149.1,66,16,159,53,0.96,1.25,3.98,999
15,Chase Burns,CIN,21,27,109.2,46,13,119,27,1.07,1.1,3.77,999
16,Spencer Schwellenbach,ATL,22,22,142,54,17,135,25,1.08,1.07,3.42,999
17,Shane McClanahan,TBR,22,22,128.1,49,15,127,35,1.05,1.16,3.44,999
18,George Kirby,SEA,26,26,145,60,17,135,27,1.06,1.12,3.72,999
19,Max Fried,NYY,25,25,151.2,63,16,130,44,0.95,1.23,3.74,999
20,Spencer Strider,ATL,25,26,142,62,18,161,43,1.14,1.18,3.93,999
21,Kris Bubic,KCR,21,25,118.1,47,10,115,40,0.76,1.27,3.58,999
22,Ranger Suarez,BOS,24,25,139,58,14,116,43,0.91,1.33,3.76,999
23,Pablo López,MIN,24,24,137,60,16,128,36,1.05,1.23,3.94,999
24,Jack Leiter,TEX,26,26,141.1,63,16,128,50,1.02,1.2,4.01,999
25,Taj Bradley,MIN,26,26,143.1,65,17,130,45,1.07,1.23,4.08,999
26,Zebby Matthews,MIN,22,23,119,52,15,118,29,1.13,1.21,3.93,999
27,Robby Snelling,MIA,25,25,130.1,54,14,120,41,0.97,1.23,3.73,999
28,Logan Gilbert,SEA,25,26,144.1,58,19,146,36,1.19,1.12,3.62,999
29,Bubba Chandler,PIT,25,27,130,54,13,120,43,0.9,1.19,3.74,999
30,Jonah Tong,NYM,26,27,126.2,55,15,134,45,1.07,1.21,3.91,999
31,Joe Ryan,MIN,24,24,137.1,61,20,139,33,1.31,1.15,4,999
32,Trey Yesavage,TOR,27,30,120.2,49,12,120,44,0.89,1.17,3.65,999
33,Kyle Bradish,BAL,22,22,109.2,45,11,106,36,0.9,1.22,3.69,999
34,Eury Pérez,MIA,27,27,117.1,51,14,112,36,1.07,1.14,3.91,999
35,Brandon Pfaadt,ARI,26,26,147,67,18,130,32,1.1,1.2,4.1,999
36,Cam Schlittler,NYY,25,27,130,58,16,127,42,1.11,1.21,4.02,999
37,Tanner Bibee,CLE,25,25,150.2,63,20,134,41,1.19,1.19,3.76,999
38,Gage Jump,ATH,24,26,112.2,48,12,101,31,0.96,1.17,3.83,999
39,Simeon Woods Richardson,MIN,23,25,124.2,56,15,112,41,1.08,1.26,4.04,999
40,Freddy Peralta,NYM,27,27,139.2,62,19,143,50,1.22,1.23,3.99,999
41,José Soriano,LAA,22,28,134.2,60,11,122,56,0.73,1.32,4.01,999
42,Logan Henderson,MIL,24,25,112,48,15,111,32,1.21,1.14,3.86,999
43,Michael McGreevy,STL,26,27,146.1,62,16,106,33,0.98,1.21,3.81,999
44,Cristian Mena,ARI,20,23,108.1,43,11,100,35,0.91,1.21,3.57,999
45,Payton Tolle,BOS,22,29,111.2,48,14,111,30,1.13,1.15,3.87,999
46,Gavin Williams,CLE,26,26,141.2,57,17,138,51,1.08,1.24,3.62,999
47,Brandon Sproat,MIL,24,25,121.2,54,13,109,41,0.96,1.22,3.99,999
48,Reid Detmers,LAA,17,39,115,51,13,126,38,1.02,1.19,3.99,999
49,Connelly Early,BOS,22,25,111,48,12,109,36,0.97,1.22,3.89,999
50,Grayson Rodriguez,LAA,21,21,108.1,49,13,110,36,1.08,1.25,4.07,999
51,Brayan Bello,BOS,26,27,146.2,66,16,122,49,0.98,1.3,4.05,999
52,Cade Horton,CHC,24,25,122.2,51,14,107,34,1.03,1.12,3.74,999
53,Corbin Burnes,ARI,22,22,137.1,53,14,119,42,0.92,1.21,3.47,999
54,Framber Valdez,DET,23,23,144,63,15,118,50,0.94,1.32,3.94,999
