Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,Hit_Now,Hit_Fut,Game_Now,Game_Fut,Raw_Now,Raw_Fut,Spd_Now,Spd_Fut,Fld_Now,Fld_Fut,Arm_Now,Arm_Fut,FB_Now,FB_Fut,SL_Now,SL_Fut,CB_Now,CB_Fut,CH_Now,CH_Fut,SPL_Now,SPL_Fut,CT_Now,CT_Fut,CMD_Now,CMD_Fut
,48,Bryan Torres,STL,OF,MLB,2026,37,Low,,27.7472222,"5' 7""",180,L,R,2015,J2,MIL,,Puerto Rico,,,60,60,30,30,35,35,40,40,45,45,50,,,,,,,,,,,,,,,
,23,Justin Hagenman,NYM,P,MLB,2026,40,Low,,28.4833333,"6' 3""",205,R,R,2018,Draft,LAD,75000,Penn State,,,,,,,,,,,,,,,40,40,50,50,35,40,50,55,,,50,50,60,60
,19,George Valera,CLE,DH/OF,MLB,2026,40,High,,24.3833333,"6' 0""",200,L,L,2017,J2,CLE,1300000,Dominican Republic,,kGbEJq13Uzw,40,40,50,50,55,55,45,45,50,50,60,,,,,,,,,,,,,,,
,19,Eduarniel Núñez,ATH,P,MLB,2026,40,High,,25.8166666,"6' 2""",170,R,R,2016,J2,CHC,35000,Dominican Republic,,,,,,,,,,,,,,,70,70,70,70,,,,,,,,,20,30
,30,Michael Mercado,PHI,P,MLB,2026,37,Med,,25.9611111,"6' 4""",200,R,R,2017,Draft,TBR,2132400,Westview HS (CA),,,,,,,,,,,,,,,50,50,,,55,55,60,60,,,55,55,30,30
,42,Cam Sanders,PIT,P,MLB,2026,37,High,,28.3111111,"6' 2""",175,R,R,2018,Draft,CHC,125000,LSU,,,,,,,,,,,,,,,60,60,55,60,,,55,55,,,,,20,30
,28,Brandon Valenzuela,TOR,C,MLB,2026,40,Med,,24.4972222,"6' 0""",225,S,R,2017,J2,SDP,100000,Mexico,,,30,40,30,40,45,45,30,30,50,55,60,,,,,,,,,,,,,,,
,39,Wilkin Ramos,SFG,P,MLB,2025,37,Low,,24.4194444,"6' 5""",165,R,R,2017,J2,OAK,,Dominican Republic,,,,,,,,,,,,,,,55,55,50,50,,,,,,,,,30,35
,11,Junior Perez,CHW,OF,MLB,2026,45,High,,23.7416666,"6' 0""",190,R,R,2017,J2,SDP,300000,Dominican Republic,,,30,35,50,55,55,55,60,60,45,45,60,,,,,,,,,,,,,,,
,6,Luinder Avila,KCR,P,MLB,2026,45,Low,,23.6111111,"6' 3""",195,R,R,2017,J2,KCR,125000,Venezuela,,,,,,,,,,,,,,,55,60,50,60,50,55,50,50,,,,,35,40
,8,Eduardo Valencia,DET,C/DH,MLB,2026,42,Med,,25.1833333,"6' 2""",180,R,R,2018,J2,DET,10000,Venezuela,,,40,45,45,50,55,55,20,20,40,45,40,,,,,,,,,,,,,,,
,17,Adam Macko,TOR,P,MLB,2026,40,Med,,24.2527777,"6' 0""",170,L,L,2019,Draft,SEA,250000,Vauxhall HS (AB),,2nbX61Y4TeM,,,,,,,,,,,,,50,50,50,50,50,50,50,55,,,,,40,45
,17,Daniel Espino,CLE,P,MLB,2026,42,High,,24.2388888,"6' 2""",215,R,R,2019,Draft,CLE,2500000,Georgai Premier Academy (GA),,WCe2LI0RvgA,,,,,,,,,,,,,60,65,60,65,,,,,,,,,40,45
,39,Blaine Crim,COL,1B,MLB,2026,37,Low,,27.7888888,"5' 10""",200,R,R,2019,Draft,TEX,5000,Mississippi College,,,40,40,50,50,55,55,30,30,45,45,45,,,,,,,,,,,,,,,
,6,Anthony Nunez,BAL,P,MLB,2026,47,High,&uarr;,23.725,"6' 2""",225,R,R,2019,Draft,SDP,125000,Miami Springs HS (FL),Nunez is a converted infielder who raced to the big leagues in just a couple of pro seaons as a picher. He has rare repertoire depth for a reliever and might eventually parlay that into a starting role.,,,,,,,,,,,,,,60,60,60,60,,,50,60,,,40,50,50,55
,31,Connor Thomas,ATL,P,MLB,2026,37,Low,,26.8388888,"5' 11""",195,L,L,2019,Draft,STL,340000,Georgia Tech,,,,,,,,,,,,,,,40,40,55,55,,,50,55,,,50,50,40,45
,5,Kevin Alcántara,CHC,DH/OF,MLB,2026,47,High,&darr;,22.7194444,"6' 6""",220,R,R,2018,J2,NYY,1000000,Dominican Republic,"Long, lanky, and loaded with tools and projection, Alcántara is a loose, 6-foot-6 outfielder with massive potential but also plenty of hit tool risk.",2sIOce13Y4M,30,30,50,60,60,70,60,60,50,55,55,,,,,,,,,,,,,,,
,42,Victor Mesa Jr.,TBR,OF,MLB,2024,40,Med,,23.5638888,"6' 0""",190,L,L,2018,J2,MIA,1000000,Cuba,,,30,40,30,40,45,45,60,60,55,55,60,,,,,,,,,,,,,,,
,23,Seth Johnson,PHI,P,MLB,2026,40,High,,26.5333333,"6' 0""",200,R,R,2019,Draft,TBR,1722500,Campbell,"Johnson's plus stuff always impressed more than the results during his tenure at Campbell, but the Rays might be the perfect team to help him weaponize it.",,,,,,,,,,,,,,50,50,55,55,50,50,,,50,60,,,30,30
