Name,Level,Team,Age,G,PA,AB,H,HR,R,RBI,BB,SO,SB,AVG,OBP,SLG,wOBA,wRC+,BB%,K%,ISO
Bryan Torres,AAA,STL,28,36,166,128,43,2,24,16,29,25,10,0.3359375,0.45398773,0.4765625,0.42210806257154315,148.4713664733156,0.174698795,0.150602409,0.140625
George Valera,AAA,CLE,25,64,271,233,56,7,29,38,34,50,4,0.240343347,0.335793357,0.386266094,0.32954407837997945,91.8105823242974,0.125461254,0.184501845,0.145922747
Brandon Valenzuela,AAA,TOR,25,4,17,15,3,1,2,4,2,3,0,0.2,0.294117647,0.4,0.31130610494052663,82.48089314203295,0.117647058,0.176470588,0.2
Junior Perez,AAA,OAK,24,71,301,264,59,9,48,32,31,107,15,0.223484848,0.303333333,0.409090909,0.31652989268302917,68.28495858749267,0.102990033,0.355481727,0.185606061
Eduardo Valencia,AAA,DET,26,81,354,309,81,17,60,54,35,75,1,0.262135922,0.347457627,0.478964401,0.36400641901972614,117.94333842643852,0.098870056,0.211864406,0.216828479
Blaine Crim,AAA,TEX,29,57,252,223,59,10,33,50,27,53,2,0.264573991,0.341269841,0.452914798,0.3532476850918361,90.44579507388981,0.107142857,0.21031746,0.188340807
Kevin Alcántara,AAA,CHC,23,69,303,262,71,19,45,49,38,92,5,0.270992366,0.363036303,0.541984732,0.3930170742592009,124.51141193850856,0.125412541,0.303630363,0.270992366
Victor Mesa Jr.,"A,AAA",TBR,24,21,92,80,28,3,15,9,12,20,3,0.35,0.434782608,0.575,0.44750416149263794,162.01433741769628,0.130434782,0.217391304,0.225
Jase Bowen,AAA,SDP,25,49,222,195,57,13,48,36,21,59,7,0.292307692,0.36199095,0.6,0.405134254693985,119.41696924805592,0.094594594,0.265765765,0.307692308
Yohendrick Piñango,AAA,TOR,24,48,214,186,51,7,25,31,23,54,4,0.274193548,0.350467289,0.451612903,0.3545376289058739,109.91182353198244,0.107476635,0.252336448,0.177419355
Juan Brito,AAA,CIN,24,98,440,372,87,11,48,55,61,78,8,0.233870967,0.341685649,0.389784946,0.3337647434511141,94.436351829486,0.138636363,0.177272727,0.155913979
Jesus Rodriguez,AAA,SFG,24,49,221,190,52,5,29,28,24,25,7,0.27368421,0.352941176,0.405263157,0.34545705814706795,99.25502422563068,0.108597285,0.113122171,0.131578947
Ryan Ward,AAA,LAD,28,86,393,331,89,17,62,74,55,65,7,0.268882175,0.374045801,0.471299093,0.37734726603542057,113.97414659529045,0.139949109,0.165394402,0.202416918
Owen Caissie,AAA,MIA,23,3,13,7,3,2,3,3,5,4,0,0.428571428,0.692307692,1.285714285,0.7179251680007348,341.79375985424656,0.384615384,0.307692307,0.857142857
Tyler Callihan,AAA,PIT,26,68,290,249,51,5,39,21,36,76,9,0.204819277,0.304195804,0.301204819,0.2848284815487109,63.95714618149812,0.124137931,0.262068965,0.096385542
Nick Yorke,"A,AAA",PIT,24,35,138,119,25,3,20,14,15,33,6,0.210084033,0.311594202,0.319327731,0.2986912787824437,71.20997596726042,0.108695652,0.239130434,0.109243698
Trei Cruz,"A,AAA",DET,27,79,342,296,68,2,42,28,37,79,4,0.229729729,0.310850439,0.304054054,0.2889293117607094,69.79230903344941,0.108187134,0.230994152,0.074324325
Gage Workman,AAA,DET,26,90,400,357,104,11,57,53,36,120,21,0.291316526,0.355,0.470588235,0.36473942639534934,116.39661753203535,0.09,0.3,0.179271709
Zac Veen,AAA,COL,24,100,445,392,128,24,82,87,48,91,18,0.326530612,0.402247191,0.635204081,0.44274657321779914,141.80239314050596,0.107865168,0.204494382,0.308673469
Petey Halpin,AAA,CLE,24,42,193,174,45,5,29,25,16,40,10,0.258620689,0.321243523,0.419540229,0.3300360326939914,92.12273334986646,0.082901554,0.207253886,0.16091954
Maximo Acosta,AAA,MIA,23,41,154,139,21,2,19,13,12,48,13,0.151079136,0.22077922,0.237410071,0.21534463492306796,22.900268400008038,0.077922077,0.311688311,0.086330935
Deyvison De Los Santos,AAA,MIA,23,96,400,360,101,18,48,65,32,78,18,0.280555555,0.345,0.486111111,0.36581187292933465,118.37357012830871,0.08,0.195,0.205555556
Jose Fernandez,AAA,ARI,22,48,221,199,54,7,36,40,17,55,11,0.271356783,0.331818181,0.467336683,0.35155479420315133,84.9446756910228,0.076923076,0.248868778,0.1959799
