Name,Level,Team,Age,G,GS,IP,ERA,FIP,WHIP,SO,BB,K/9,BB/9,K%,BB%,HR
Justin Hagenman,A,NYM,29,1,1,2.1,3.85714850621175,2.4783359362127015,1.7142882249829998,3,1,11.57144551863525,3.85714850621175,0.27272727,0.09090909,0
Eduarniel Núñez,"AA,AAA,CPX",OAK,27,30,1,34,5.294119169143269,5.406023197909339,1.8823534823620514,44,32,11.647062172115193,8.470590670629232,0.26347305,0.19161677,3
Michael Mercado,"A,A+,AAA",PHI,27,35,2,52.2,3.759494277896591,4.390517010409982,1.4810128973532024,53,30,9.056963487659969,5.126583106222624,0.22083333,0.125,4
Cam Sanders,AAA,PIT,29,28,1,30.2,3.2282615388500253,4.0379242361606185,1.3369567989176872,51,20,14.967394407395572,5.869566434272773,0.38636364,0.15151515,4
Wilkin Ramos,AAA,SFG,25,33,0,49.1,4.7432437322713215,5.268109942492659,1.500000154649905,43,22,7.844595403371801,4.013513927306503,0.18859649,0.09649123,3
Luinder Avila,AAA,KCR,24,4,4,10.2,4.218748742714899,5.2974344667048845,1.6874994970859596,9,7,7.593747736886818,5.906248239800859,0.1875,0.14583333,1
Adam Macko,AAA,TOR,25,24,1,32.1,4.453608685287858,3.937948547615322,1.4226805522447323,37,14,10.29897008472817,3.8969075996268754,0.26241135,0.09929078,3
Daniel Espino,AAA,CLE,25,37,1,33,3.8181818181818183,4.485881967255564,1.3333333333333333,43,20,11.727272727272727,5.454545454545454,0.3028169,0.14084507,4
Anthony Nunez,AAA,BAL,24,10,0,12,5.25,4.182851664225261,1.5,18,6,13.5,4.5,0.33333333,0.11111111,2
Connor Thomas,"A+,AAA",ATL,28,20,2,41.1,2.395161460716828,4.025818644604623,1.0887097548712856,35,14,7.620968284098999,3.0483873136395996,0.21604938,0.08641975,3
Seth Johnson,AAA,OAK,27,27,0,31,2.032258064516129,2.706806127486691,1.064516129032258,44,11,12.774193548387096,3.193548387096774,0.34375,0.0859375,2
Tyler Owens,"A,AA",DET,25,40,0,48.1,3.9103450847721155,4.178081447603248,1.303448361590705,49,15,9.124138531134935,2.7931036319800824,0.23557692,0.07211538,6
Blas Castaño,AAA,COL,27,21,0,26,2.769230769230769,5.355427896059477,1.2307692307692308,19,14,6.576923076923077,4.846153846153846,0.17757009,0.13084112,2
Alec Gamboa,AAA,BOS,29,17,8,51.1,3.681818546623978,4.217483768344113,1.2077923274639504,47,13,8.240260556729854,2.2792210050529387,0.22488038,0.06220096,7
Blake Walston,AAA,ARI,25,5,0,6.2,4.04999806881043,6.520811295509919,1.7999991416935246,6,1,8.09999613762086,1.3499993562701433,0.18181818,0.03030303,2
Gavin Collyer,AAA,TEX,25,25,0,27.1,2.6341466478192688,3.422031959815078,1.3902440641268363,38,16,12.512196577141527,5.2682932956385375,0.3220339,0.13559322,1
Marc Church,"AAA,CPX",TEX,25,25,0,25.2,5.9610404930064,4.873594799645407,1.8701303507471057,33,15,11.571431545247716,5.259741611476235,0.26190476,0.11904762,3
Ben Peoples,AAA,TEX,25,31,0,39,2.999999862450826,3.9419841708331567,1.1282050764772338,46,22,10.615384128672154,5.076922844147552,0.29299363,0.14012739,3
Cody Laweryson,AAA,MIN,28,8,0,9,7,5.6272961086697055,1.3333333333333333,8,3,8,3,0.2,0.075,2
Sam Aldegheri,AAA,LAA,24,16,16,80.1,7.058091733186444,6.037202683770282,1.6058092303016778,69,41,7.730290945870867,4.593361286676892,0.1890411,0.11232877,13
Trevor McDonald,AAA,SFG,25,5,4,15,5.4,5.770812511444092,1.5333333333333334,12,15,7.2,9,0.17647059,0.22058824,0
Jairo Iriarte,"AA,AAA",CHW,24,37,0,55,2.618181818181818,4.049792992388195,1.2181818181818183,55,28,9,4.581818181818182,0.23809524,0.12121212,3
Jose Franco,AAA,CIN,25,14,8,55.2,3.718562534486459,4.468280718948847,1.293413055473551,54,29,8.730538124446468,4.688622326091623,0.2278481,0.12236287,5
Rolddy Muñoz,AAA,ATL,26,37,0,43.1,3.7384619772646364,3.9315696616991085,1.2692309182071297,62,25,12.876924588355969,5.192308301756439,0.32631579,0.13157895,4
Kyle Hurt,AAA,LAD,28,10,0,8,10.125,6.220812511444092,2.625,14,10,15.75,11.25,0.30434783,0.2173913,1
Zach McCambley,AAA,CIN,27,29,2,55,2.4545454545454546,3.916184997558594,1.2181818181818183,63,27,10.309090909090909,4.418181818181818,0.28251121,0.12107623,4
Dax Fulton,AAA,MIA,24,18,11,57.2,5.150288563079961,5.45838135804666,1.5780345428965536,62,38,9.676299724574472,5.930635315061773,0.23664122,0.14503817,8
Shane Drohan,AAA,MIL,27,3,2,13.2,3.2926821609399,4.906428576622108,1.5365850084386201,17,7,11.19511934719566,4.60975502531586,0.26984127,0.11111111,2
Coleman Crow,AAA,MIL,25,15,14,77.2,3.1287557746010677,3.928202218905237,1.1330473587032672,79,29,9.154507636795717,3.3605154616085544,0.25239617,0.09265176,7
Andry Lara,AAA,WSN,23,28,19,97.1,5.640411253650156,5.057280968501259,1.4691781589653412,79,38,7.304794902268235,3.5136988137492775,0.18287037,0.08796296,14
Jose Corniell,AAA,TEX,23,10,9,35.1,6.367925444970105,4.338737092709032,1.7264153428585618,27,16,6.877359480567714,4.075472284780867,0.16363636,0.0969697,1
Emiliano Teodo,AAA,TEX,25,43,0,52.1,3.4394907801430845,4.677818949584615,1.452229440504858,68,40,11.694268652486487,6.878981560286169,0.29059829,0.17094017,2
