TeamID,"Team Name","ottoneu ID","FG MajorLeagueID","FG MinorLeagueID",Name,"MLB Team",Position(s),Salary
10758,"Misiorowski Index",18312,15640,sa549847,"Aaron Judge",NYY,OF,$60
10758,"Misiorowski Index",23327,18401,sa877503,"Ronald Acuña Jr.",ATL,OF,$43
10758,"Misiorowski Index",23859,19251,sa873981,"Pete Alonso",BAL,1B,$34
10758,"Misiorowski Index",18460,13543,sa597786,"Blake Snell",LAD,SP,$27
10758,"Misiorowski Index",33682,22250,sa3008598,"Logan Gilbert",SEA,SP,$22
10758,"Misiorowski Index",5918,5417,sa455591,"Jose Altuve",HOU,2B/OF,$18
10758,"Misiorowski Index",8626,7304,sa392995,"Salvador Perez",KCR,C/1B,$13
10758,"Misiorowski Index",23814,19427,sa873698,"Shane Bieber",TOR,SP,$10
10758,"Misiorowski Index",37216,26323,sa3010586,"Spencer Steer",CIN,1B/2B/OF,$9
10758,"Misiorowski Index",33907,24262,sa3005581,"Ceddanne Rafaela",BOS,2B/OF,$8
10758,"Misiorowski Index",40095,29668,sa3017114,"Marcelo Mayer",BOS,2B/SS/3B,$8
10758,"Misiorowski Index",23792,20220,sa3004837,"Jo Adell",LAA,OF,$8
10758,"Misiorowski Index",20732,18684,sa828383,"Sandy Alcantara",MIA,SP,$8
10758,"Misiorowski Index",37427,26121,sa3010862,"Francisco Alvarez",NYM,C,$7
10758,"Misiorowski Index",23796,20437,sa3004259,"Royce Lewis",MIN,1B/3B,$7
10758,"Misiorowski Index",40262,29712,sa3017170,"Colson Montgomery",CHW,SS/3B,$6
10758,"Misiorowski Index",42711,31623,sa3020644,"Jacob Misiorowski",MIL,SP,$6
10758,"Misiorowski Index",39978,29591,sa3017018,"Colton Cowser",BAL,OF,$6
10758,"Misiorowski Index",23693,16162,sa597893,"Brandon Woodruff",MIL,SP,$5
10758,"Misiorowski Index",35922,25385,sa829799,"Drew Rasmussen",TBR,SP,$5
10758,"Misiorowski Index",31541,20302,sa829588,"David Peterson",CHC,SP/RP,$5
10758,"Misiorowski Index",14941,11486,sa549085,"Robbie Ray",SFG,SP,$5
10758,"Misiorowski Index",26857,22184,sa3004720,"Mark Vientos",NYM,1B/3B,$5
10758,"Misiorowski Index",23834,22515,sa3004693,"Heliot Ramos",SFG,OF,$5
10758,"Misiorowski Index",20435,17998,sa827454,"Pete Fairbanks",MIA,RP,$4
10758,"Misiorowski Index",42666,31776,sa3020593,"Orion Kerkering",PHI,RP,$4
10758,"Misiorowski Index",44534,33850,sa3023499,"Brandon Sproat",MIL,SP,$3
10758,"Misiorowski Index",40266,30038,sa3017795,"Carson Williams","TBR AAA",SS,$3
10758,"Misiorowski Index",40870,30107,sa3017948,"Christian Scott",NYM,SP,$3
10758,"Misiorowski Index",38404,27479,sa3014506,"Masyn Winn",STL,SS,$3
10758,"Misiorowski Index",37239,25636,sa3010621,"Hunter Gaddis",CLE,RP,$3
10758,"Misiorowski Index",35487,20572,sa3008002,"Kody Clemens",MIN,1B/2B/OF,$3
10758,"Misiorowski Index",35205,20423,sa3007594,"Ryan Walker",SFG,RP,$3
10758,"Misiorowski Index",35181,24729,sa3007519,"Logan O'Hoppe",LAA,C,$3
10758,"Misiorowski Index",44539,,sa3023363,"Leo De Vries","ATH AA",SS,$3
10758,"Misiorowski Index",19296,15711,sa737633,"Tyler O'Neill",BAL,OF,$2
10758,"Misiorowski Index",23818,19574,sa917955,"JoJo Romero",STL,RP,$2
10758,"Misiorowski Index",27723,11861,sa548332,"Jason Adam",SDP,RP,$2
10758,"Misiorowski Index",23752,19953,sa917926,"Josh Lowe",LAA,OF,$1
10758,"Misiorowski Index",32966,21224,sa918555,"Bailey Ober","MIN AAA",SP,$1
10759,"Juan Nation UndeGrom 🫡",23717,20123,sa906282,"Juan Soto",NYM,OF,$65
