Team,Games,R,HR,OBP,SLG,IP,K,HR/9,ERA,WHIP
"Misiorowski Index",85,498,157,0.30357,0.40750,738,720,1.21871,3.61843,1.16426
"Juan Nation UndeGrom 🫡",85,577,180,0.34619,0.43859,738,950,1.21603,3.99847,1.22290
"NBC Andy Pages Program",85,605,178,0.32608,0.44275,738,835,1.08834,3.89022,1.18997
"Wrecking Crews",85,567,162,0.31866,0.41894,738,615,0.96705,3.95845,1.29656
"Bureau of Gleyber Statistics",85,589,145,0.34471,0.41773,738,865,0.98241,3.64894,1.22351
"Look Out Bello",85,539,157,0.32214,0.42104,738,794,1.10027,4.07967,1.27885
"Five-cent head",85,562,143,0.33611,0.43298,738,714,1.22099,3.70904,1.15316
"Prospects R Us",85,463,113,0.33726,0.40827,738,744,0.85443,3.32007,1.15687
"South Side Shitshow",85,559,158,0.33401,0.43259,738,800,1.34276,4.55485,1.34715
"Bryce Krispies👨‍🍳",85,573,179,0.32536,0.43602,738,871,0.98986,3.24337,1.15133
"Si Se Fuentes",85,567,134,0.33418,0.40091,738,767,1.20257,4.48651,1.34904
"Ketel Corn",85,585,160,0.35081,0.45076,738,739,1.30821,4.33647,1.27052
